mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svr__C,param_svr__epsilon,param_svr__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,mean_test_score,std_test_score,rank_test_score
0.019829613821847097,0.0064401906482096025,0.008884021214076452,0.0020450507326318654,1000,3.0,1e-05,"{'svr__C': 1000, 'svr__epsilon': 3, 'svr__gamma': 1e-05}",-650.7288819276399,-803.5345722692648,-1158.0161126855846,-897.1498218237327,-864.9211874102051,-1009.8466489726197,-821.9991728144854,-986.4810317921473,-995.7869996586334,-913.17073625223,-753.3183088200578,-1049.9348989820883,-1053.2912538937067,-913.130979196373,-919.3793290356264,130.01083414634252,20
0.020195228712899343,0.008138598541667302,0.008630565234592982,0.001888554803538149,1000,3.0,0.0001,"{'svr__C': 1000, 'svr__epsilon': 3, 'svr__gamma': 0.0001}",-650.688701931885,-803.1731022946918,-1157.2457011224435,-896.376180159786,-864.7499463783977,-1009.9656336594703,-820.1940916556463,-986.3154304182448,-995.4964766877882,-912.2554643734067,-751.8039324908509,-1048.5473173378566,-1050.6596362523912,-910.3808849107473,-918.4180356909719,129.89817531071375,15
0.019872546195983887,0.006912749575328585,0.009714654513767787,0.0018993411898770526,1000,3.0,0.001,"{'svr__C': 1000, 'svr__epsilon': 3, 'svr__gamma': 0.001}",-650.4978153776772,-799.6003887837487,-1150.6440110531207,-888.934205516707,-865.1338896574467,-1008.9373184811067,-800.9985317402421,-981.6692493352734,-993.0645594648518,-904.4183182008117,-736.9489083636001,-1035.3556221094364,-1026.196707554886,-882.7238720963854,-908.9373855525209,129.15206164807546,6
0.019393341881888255,0.0062146942603114475,0.009215491158621652,0.0028395541378859,1100,2.0,1e-05,"{'svr__C': 1100, 'svr__epsilon': 2, 'svr__gamma': 1e-05}",-650.7284252161436,-803.5305484004418,-1157.7521106405682,-897.2066175193182,-864.9192746159516,-1009.8841398904045,-822.1603695111851,-986.4790709710719,-995.7943121790556,-913.2008200524997,-753.3571059348362,-1049.9179978234386,-1053.3450774107396,-913.2850714080491,-919.3972101124075,129.96798602776343,23
0.02008180958884103,0.006472083022218463,0.009175436837332589,0.002025573318408707,1100,2.0,0.0001,"{'svr__C': 1100, 'svr__epsilon': 2, 'svr__gamma': 0.0001}",-650.6843156777402,-803.1335837264415,-1156.9075103119376,-896.3543020122383,-864.7311050912955,-1010.1396717314265,-819.9733461193849,-986.2985160913946,-995.6464112950929,-912.0949899568847,-751.6970609719378,-1048.4064447305248,-1050.4236204493627,-909.9265173769644,-918.3155282530446,129.8693450820714,10
0.019961271967206682,0.005955253859346558,0.009973798479352678,0.0016434988787971654,1100,2.0,0.001,"{'svr__C': 1100, 'svr__epsilon': 2, 'svr__gamma': 0.001}",-650.4638306951234,-799.2313590438802,-1149.740131402169,-888.2232083481383,-864.721197042938,-1008.2377265810742,-799.0552114484784,-981.2052843196768,-992.1756207758539,-902.709308658503,-735.0187241177872,-1034.03070668308,-1023.2868223315869,-880.2356042490937,-907.7381954069558,129.0388331546787,1
0.019059504781450545,0.007148242878501863,0.009251696722848075,0.0013999270012426423,1100,2.5,1e-05,"{'svr__C': 1100, 'svr__epsilon': 2.5, 'svr__gamma': 1e-05}",-650.7284252161436,-803.5305484004418,-1157.8797055453742,-897.1737758210659,-864.9192746159516,-1009.8479322137111,-822.1603695111851,-986.4790709710719,-995.7943121790556,-913.2033452015107,-753.3028082622843,-1049.9180151513724,-1053.3018203396173,-913.1527859101316,-919.3851563813512,129.9855173869188,21
0.019561563219342912,0.006407896375461124,0.009289894785199846,0.002488575793465605,1100,2.5,0.0001,"{'svr__C': 1100, 'svr__epsilon': 2.5, 'svr__gamma': 0.0001}",-650.6843156777402,-803.1335837264415,-1157.0326696620202,-896.322196878141,-864.7311050912955,-1010.0559254710464,-819.9733461193849,-986.2985160913946,-995.6627241637058,-912.1201057550318,-751.6380535868057,-1048.3944088417647,-1050.4236204493627,-909.9707634879259,-918.3172382144329,129.88688474969578,11
0.020198345184326172,0.006050207851514409,0.008041126387459891,0.0026789639392439733,1100,2.5,0.001,"{'svr__C': 1100, 'svr__epsilon': 2.5, 'svr__gamma': 0.001}",-650.4788910962019,-799.2197079701206,-1149.8657274995528,-888.185698743078,-864.8053759094605,-1007.9811586586588,-799.0885174062848,-981.2052843196768,-992.1439740448079,-902.8187495356277,-735.063940212826,-1034.0286089069673,-1023.2921152803373,-880.2466982659495,-907.7446034178249,129.03028206305345,2
0.019806810787745883,0.0061032293917141186,0.01014300755092076,0.002113968851533907,1100,3.0,1e-05,"{'svr__C': 1100, 'svr__epsilon': 3, 'svr__gamma': 1e-05}",-650.7284252161436,-803.5305484004418,-1158.0075480221792,-897.14121158355,-864.9192746159516,-1009.8479322137111,-821.9816972888838,-986.4790709710719,-995.7881007669495,-913.155402340303,-753.301311682259,-1049.9194506315232,-1053.2609370116543,-913.0943656156533,-919.3682340257338,130.0095604835052,19
0.02602388177599226,0.00783193701368707,0.013395803315298898,0.0023251252960391697,1100,3.0,0.0001,"{'svr__C': 1100, 'svr__epsilon': 3, 'svr__gamma': 0.0001}",-650.6843156777402,-803.1323096938893,-1157.1601598115033,-896.2903695215446,-864.7311050912955,-1009.9790424928675,-819.9733461193849,-986.2985160913946,-995.6684205861903,-912.1490742462958,-751.6380535868057,-1048.395418269054,-1050.383568355291,-910.1029211920796,-918.3276157668098,129.8969186467582,12
0.02132206303732736,0.005475329920382939,0.010693856648036413,0.0029360607350927283,1100,3.0,0.001,"{'svr__C': 1100, 'svr__epsilon': 3, 'svr__gamma': 0.001}",-650.4939839756747,-799.2083695361065,-1149.991527272908,-888.1577787490687,-864.8819160495095,-1007.6920986094044,-799.1211458482649,-981.2052843196768,-992.1232762684442,-903.0326322571275,-735.1095090752175,-1034.0239468275481,-1023.2869895073608,-880.2626136649665,-907.7565051400913,129.01939562349725,3
