year,dist_name,precipitation
1999,Thirunelveli,84.71
1999,Thiruvallur,75.66
1999,Thiruvarur,82.1
1999,Thoothukudi,57.77
1999,Tiruchirappalli,63.1
1999,Tiruppur,57.03
1999,Tiruvannamalai,75.95
1999,Vellore,69.52
1999,Villupuram,77.14
1999,Virudhunagar,66.62
2000,Ariyalur,96.29
2000,Chennai,87.12
2000,Coimbatore,105.3
2000,Cuddalore,102.88
2000,Dharmapuri,83.9
2000,Dindigul,82.81
2000,Erode,64.73
2000,Kancheepuram,90.78
2000,Kanyakumari,105.1
2000,Karur,70.02
2000,Krishnagiri,76.15
2000,Madurai,87.21
2000,Nagapattinam,111.12
2000,Namakkal,77.54
2000,Perambular,90.97
2000,Pudukkottai,94.61
2000,Ramananthapuram,75.12
2000,Salem,85.51
2000,Sivagangai,96.17
2000,Thanjavur,96.7
2000,The Nilgiris,135.85
2000,Theni,91.64
2000,Thirunelveli,83.3
2000,Thiruvallur,84.28
2000,Thiruvarur,105.14
2000,Thoothukudi,56.77
2000,Tiruchirappalli,80.7
2000,Tiruppur,63.78
2000,Tiruvannamalai,91.01
2000,Vellore,81.87
2000,Villupuram,94.16
2000,Virudhunagar,76.36
2001,Ariyalur,79.94
2001,Chennai,106.92
2001,Coimbatore,96.53
2001,Cuddalore,91.87
2001,Dharmapuri,67.13
2001,Dindigul,69.15
2001,Erode,54.48
2001,Kancheepuram,98.9
2001,Kanyakumari,120.75
2001,Karur,57.91
2001,Krishnagiri,60.46
2001,Madurai,73.07
2001,Nagapattinam,102.29
2001,Namakkal,62.53
2001,Perambular,74.36
2001,Pudukkottai,73.29
2001,Ramananthapuram,62.67
2001,Salem,68.68
2001,Sivagangai,74.24
2001,Thanjavur,79.3
2001,The Nilgiris,120.93
2001,Theni,87.25
2001,Thirunelveli,85.56
2001,Thiruvallur,95.56
2001,Thiruvarur,91.94
2001,Thoothukudi,52.88
2001,Tiruchirappalli,65.45
2001,Tiruppur,56.14
2001,Tiruvannamalai,82.5
2001,Vellore,74.17
2001,Villupuram,85.48
2001,Virudhunagar,68.94
2002,Ariyalur,79.45
2002,Chennai,102.25
2002,Coimbatore,81.2
2002,Cuddalore,90.91
2002,Dharmapuri,64.87
2002,Dindigul,64.01
2002,Erode,52.74
2002,Kancheepuram,94.27
2002,Kanyakumari,101.88
2002,Karur,55.17
2002,Krishnagiri,57.78
2002,Madurai,68.51
2002,Nagapattinam,106.85
2002,Namakkal,59.88
2002,Perambular,72.32
2002,Pudukkottai,70.78
2002,Ramananthapuram,68.8
2002,Salem,65.95
2002,Sivagangai,71.7
2002,Thanjavur,78.92
2002,The Nilgiris,105.88
2002,Theni,76.28
2002,Thirunelveli,81.69
2002,Thiruvallur,90.59
2002,Thiruvarur,94.08
2002,Thoothukudi,62.03
2002,Tiruchirappalli,62.92
2002,Tiruppur,52.4
2002,Tiruvannamalai,77.33
2002,Vellore,67.87
2002,Villupuram,81.76
2002,Virudhunagar,67.55
2003,Ariyalur,82.36
2003,Chennai,72.11
2003,Coimbatore,87.89
2003,Cuddalore,85.82
2003,Dharmapuri,61.29
2003,Dindigul,68.33
2003,Erode,48.74
2003,Kancheepuram,75.81
2003,Kanyakumari,112.28
2003,Karur,58.17
2003,Krishnagiri,54.1
2003,Madurai,77.3
2003,Nagapattinam,99.29
2003,Namakkal,61.89
2003,Perambular,76.43
2003,Pudukkottai,85.82
2003,Ramananthapuram,75.01
2003,Salem,65.8
2003,Sivagangai,88.56
2003,Thanjavur,87.14
2003,The Nilgiris,109.78
2003,Theni,83.96
2003,Thirunelveli,88.66
2003,Thiruvallur,68.7
2003,Thiruvarur,95.27
2003,Thoothukudi,61.22
2003,Tiruchirappalli,68.8
2003,Tiruppur,51.46
2003,Tiruvannamalai,71.55
2003,Vellore,62.89
2003,Villupuram,75.72
2003,Virudhunagar,73.55
2004,Ariyalur,101.78
2004,Chennai,95.17
2004,Coimbatore,99.42
2004,Cuddalore,106.6
2004,Dharmapuri,87.42
2004,Dindigul,81.9
2004,Erode,63.15
2004,Kancheepuram,96.15
2004,Kanyakumari,121.7
2004,Karur,71.78
2004,Krishnagiri,78.58
2004,Madurai,89.28
2004,Nagapattinam,115.79
2004,Namakkal,79.7
2004,Perambular,96.88
2004,Pudukkottai,101.03
2004,Ramananthapuram,82.35
2004,Salem,88.66
2004,Sivagangai,102.29
2004,Thanjavur,100.04
2004,The Nilgiris,130.98
2004,Theni,90.66
2004,Thirunelveli,84.29
2004,Thiruvallur,90.96
2004,Thiruvarur,108.22
2004,Thoothukudi,57.64
2004,Tiruchirappalli,86.65
2004,Tiruppur,60.2
2004,Tiruvannamalai,95.18
2004,Vellore,86.85
2004,Villupuram,97.9
2004,Virudhunagar,77.07
2005,Ariyalur,100.98
2005,Chennai,171.52
2005,Coimbatore,91.84
2005,Cuddalore,127.72
2005,Dharmapuri,92.76
2005,Dindigul,68.97
2005,Erode,61.08
2005,Kancheepuram,154.13
2005,Kanyakumari,120.76
2005,Karur,61.4
2005,Krishnagiri,86.97
2005,Madurai,70.92
2005,Nagapattinam,134.35
2005,Namakkal,73.27
2005,Perambular,92.63
2005,Pudukkottai,75.97
2005,Ramananthapuram,68.04
2005,Salem,87.66
2005,Sivagangai,71.67
2005,Thanjavur,92.74
2005,The Nilgiris,126.23
2005,Theni,84.83
2005,Thirunelveli,93.47
2005,Thiruvallur,150.66
2005,Thiruvarur,113.43
2005,Thoothukudi,66.11
2005,Tiruchirappalli,72.98
2005,Tiruppur,57.5
2005,Tiruvannamalai,122.66
2005,Vellore,110.6
2005,Villupuram,122.98
2005,Virudhunagar,70.99
2006,Ariyalur,85.61
2006,Chennai,116.29
2006,Coimbatore,97.49
2006,Cuddalore,95.0
2006,Dharmapuri,67.57
2006,Dindigul,75.07
2006,Erode,56.03
2006,Kancheepuram,104.3
2006,Kanyakumari,133.28
2006,Karur,61.6
2006,Krishnagiri,57.97
2006,Madurai,85.79
2006,Nagapattinam,111.18
2006,Namakkal,65.11
2006,Perambular,79.17
2006,Pudukkottai,81.17
2006,Ramananthapuram,81.86
2006,Salem,70.84
2006,Sivagangai,85.11
2006,Thanjavur,87.32
2006,The Nilgiris,135.86
2006,Theni,97.23
