year,dist_name,maximum_temperature
2001,Ramananthapuram,33.3
2001,Salem,32.74
2001,Sivagangai,33.56
2001,Thanjavur,32.94
2001,The Nilgiris,23.9
2001,Theni,30.05
2001,Thirunelveli,32.07
2001,Thiruvallur,33.69
2001,Thiruvarur,32.62
2001,Thoothukudi,33.71
2001,Tiruchirappalli,33.81
2001,Tiruppur,32.18
2001,Tiruvannamalai,33.23
2001,Vellore,32.67
2001,Villupuram,33.39
2001,Virudhunagar,33.81
2002,Ariyalur,33.74
2002,Chennai,33.98
2002,Coimbatore,30.25
2002,Cuddalore,33.37
2002,Dharmapuri,32.68
2002,Dindigul,31.35
2002,Erode,32.0
2002,Kancheepuram,33.48
2002,Kanyakumari,29.98
2002,Karur,34.66
2002,Krishnagiri,31.62
2002,Madurai,33.63
2002,Nagapattinam,32.62
2002,Namakkal,33.62
2002,Perambular,34.32
2002,Pudukkottai,33.54
2002,Ramananthapuram,33.41
2002,Salem,33.05
2002,Sivagangai,33.66
2002,Thanjavur,33.07
2002,The Nilgiris,24.24
2002,Theni,30.31
2002,Thirunelveli,32.3
2002,Thiruvallur,33.7
2002,Thiruvarur,32.73
2002,Thoothukudi,33.9
2002,Tiruchirappalli,34.02
2002,Tiruppur,32.48
2002,Tiruvannamalai,33.43
2002,Vellore,32.88
2002,Villupuram,33.56
2002,Virudhunagar,34.02
2003,Ariyalur,33.75
2003,Chennai,34.04
2003,Coimbatore,30.49
2003,Cuddalore,33.37
2003,Dharmapuri,32.82
2003,Dindigul,31.6
2003,Erode,32.21
2003,Kancheepuram,33.59
2003,Kanyakumari,30.13
2003,Karur,34.83
2003,Krishnagiri,31.8
2003,Madurai,33.87
2003,Nagapattinam,32.6
2003,Namakkal,33.76
2003,Perambular,34.36
2003,Pudukkottai,33.66
2003,Ramananthapuram,33.6
2003,Salem,33.18
2003,Sivagangai,33.85
2003,Thanjavur,33.13
2003,The Nilgiris,24.48
2003,Theni,30.58
2003,Thirunelveli,32.48
2003,Thiruvallur,33.84
2003,Thiruvarur,32.76
2003,Thoothukudi,34.09
2003,Tiruchirappalli,34.14
2003,Tiruppur,32.72
2003,Tiruvannamalai,33.54
2003,Vellore,33.05
2003,Villupuram,33.62
2003,Virudhunagar,34.25
2004,Ariyalur,33.22
2004,Chennai,33.62
2004,Coimbatore,29.98
2004,Cuddalore,32.88
2004,Dharmapuri,32.03
2004,Dindigul,31.01
2004,Erode,31.49
2004,Kancheepuram,33.07
2004,Kanyakumari,29.93
2004,Karur,34.14
2004,Krishnagiri,30.99
2004,Madurai,33.36
2004,Nagapattinam,32.27
2004,Namakkal,33.0
2004,Perambular,33.7
2004,Pudukkottai,33.1
2004,Ramananthapuram,33.2
2004,Salem,32.41
2004,Sivagangai,33.32
2004,Thanjavur,32.64
2004,The Nilgiris,23.94
2004,Theni,30.14
2004,Thirunelveli,32.24
2004,Thiruvallur,33.3
2004,Thiruvarur,32.37
2004,Thoothukudi,33.82
2004,Tiruchirappalli,33.45
2004,Tiruppur,32.1
2004,Tiruvannamalai,32.84
2004,Vellore,32.31
2004,Villupuram,33.0
2004,Virudhunagar,33.84
2005,Ariyalur,33.47
2005,Chennai,33.7
2005,Coimbatore,30.15
2005,Cuddalore,33.09
2005,Dharmapuri,32.18
2005,Dindigul,31.21
2005,Erode,31.7
2005,Kancheepuram,33.17
2005,Kanyakumari,30.08
2005,Karur,34.37
2005,Krishnagiri,31.13
2005,Madurai,33.57
2005,Nagapattinam,32.55
2005,Namakkal,33.23
2005,Perambular,33.93
2005,Pudukkottai,33.34
2005,Ramananthapuram,33.45
2005,Salem,32.61
2005,Sivagangai,33.54
2005,Thanjavur,32.9
2005,The Nilgiris,24.1
2005,Theni,30.31
2005,Thirunelveli,32.4
2005,Thiruvallur,33.4
2005,Thiruvarur,32.65
2005,Thoothukudi,34.03
2005,Tiruchirappalli,33.68
2005,Tiruppur,32.3
2005,Tiruvannamalai,32.95
2005,Vellore,32.41
2005,Villupuram,33.16
2005,Virudhunagar,34.04
2006,Ariyalur,33.35
2006,Chennai,33.69
2006,Coimbatore,29.89
2006,Cuddalore,33.01
2006,Dharmapuri,32.29
2006,Dindigul,30.91
2006,Erode,31.57
2006,Kancheepuram,33.18
2006,Kanyakumari,29.56
2006,Karur,34.2
2006,Krishnagiri,31.26
2006,Madurai,33.22
2006,Nagapattinam,32.34
2006,Namakkal,33.14
2006,Perambular,33.87
2006,Pudukkottai,33.18
2006,Ramananthapuram,33.12
2006,Salem,32.61
2006,Sivagangai,33.32
2006,Thanjavur,32.74
2006,The Nilgiris,23.91
2006,Theni,29.89
