year,dist_name,actual_evapotranspiration
2002,Dharmapuri,59.65
2002,Dindigul,50.76
2002,Erode,43.85
2002,Kancheepuram,86.38
2002,Kanyakumari,73.4
2002,Karur,45.89
2002,Krishnagiri,54.16
2002,Madurai,52.04
2002,Nagapattinam,83.07
2002,Namakkal,52.2
2002,Perambular,62.07
2002,Pudukkottai,55.95
2002,Ramananthapuram,48.71
2002,Salem,58.63
2002,Sivagangai,54.59
2002,Thanjavur,64.56
2002,The Nilgiris,66.15
2002,Theni,58.8
2002,Thirunelveli,56.67
2002,Thiruvallur,83.26
2002,Thiruvarur,77.16
2002,Thoothukudi,43.05
2002,Tiruchirappalli,52.12
2002,Tiruppur,43.21
2002,Tiruvannamalai,73.87
2002,Vellore,65.7
2002,Villupuram,75.2
2002,Virudhunagar,48.39
2003,Ariyalur,87.43
2003,Chennai,83.68
2003,Coimbatore,69.62
2003,Cuddalore,91.1
2003,Dharmapuri,60.72
2003,Dindigul,68.61
2003,Erode,46.81
2003,Kancheepuram,85.84
2003,Kanyakumari,87.68
2003,Karur,60.53
2003,Krishnagiri,52.16
2003,Madurai,79.16
2003,Nagapattinam,97.94
2003,Namakkal,61.83
2003,Perambular,80.14
2003,Pudukkottai,87.7
2003,Ramananthapuram,79.57
2003,Salem,65.25
2003,Sivagangai,90.52
2003,Thanjavur,91.13
2003,The Nilgiris,70.7
2003,Theni,82.26
2003,Thirunelveli,74.65
2003,Thiruvallur,79.31
2003,Thiruvarur,99.34
2003,Thoothukudi,55.88
2003,Tiruchirappalli,71.54
2003,Tiruppur,49.01
2003,Tiruvannamalai,74.81
2003,Vellore,63.78
2003,Villupuram,81.94
2003,Virudhunagar,76.93
2004,Ariyalur,85.11
2004,Chennai,71.54
2004,Coimbatore,74.0
2004,Cuddalore,87.61
2004,Dharmapuri,77.46
2004,Dindigul,69.5
2004,Erode,59.8
2004,Kancheepuram,75.59
2004,Kanyakumari,92.3
2004,Karur,64.43
2004,Krishnagiri,71.99
2004,Madurai,75.96
2004,Nagapattinam,95.09
2004,Namakkal,71.54
2004,Perambular,81.87
2004,Pudukkottai,81.36
2004,Ramananthapuram,75.17
2004,Salem,77.16
2004,Sivagangai,83.22
2004,Thanjavur,85.82
2004,The Nilgiris,74.45
2004,Theni,80.43
2004,Thirunelveli,75.23
2004,Thiruvallur,72.15
2004,Thiruvarur,92.99
2004,Thoothukudi,56.18
2004,Tiruchirappalli,72.2
2004,Tiruppur,55.0
2004,Tiruvannamalai,80.38
2004,Vellore,74.58
2004,Villupuram,80.31
