year,dist_name,water_deficit
2011,Karur,96.29
2011,Krishnagiri,65.23
2011,Madurai,82.5
2011,Nagapattinam,63.98
2011,Namakkal,81.88
2011,Perambular,71.45
2011,Pudukkottai,75.97
2011,Ramananthapuram,92.94
2011,Salem,68.47
2011,Sivagangai,76.2
2011,Thanjavur,64.45
2011,The Nilgiris,36.58
2011,Theni,53.13
2011,Thirunelveli,76.05
2011,Thiruvallur,48.96
2011,Thiruvarur,62.14
2011,Thoothukudi,109.17
2011,Tiruchirappalli,82.71
2011,Tiruppur,90.81
2011,Tiruvannamalai,52.82
2011,Vellore,58.49
2011,Villupuram,56.31
2011,Virudhunagar,84.85
2012,Ariyalur,84.4
2012,Chennai,67.78
2012,Coimbatore,68.71
2012,Cuddalore,73.29
2012,Dharmapuri,85.95
2012,Dindigul,94.34
2012,Erode,98.53
2012,Kancheepuram,65.71
2012,Kanyakumari,56.49
2012,Karur,118.15
2012,Krishnagiri,83.93
2012,Madurai,99.35
2012,Nagapattinam,75.02
2012,Namakkal,103.41
2012,Perambular,96.36
2012,Pudukkottai,98.28
2012,Ramananthapuram,104.95
2012,Salem,90.56
2012,Sivagangai,99.41
2012,Thanjavur,82.46
2012,The Nilgiris,44.69
2012,Theni,71.55
2012,Thirunelveli,85.96
2012,Thiruvallur,63.9
2012,Thiruvarur,74.03
2012,Thoothukudi,114.43
2012,Tiruchirappalli,105.77
2012,Tiruppur,106.48
2012,Tiruvannamalai,70.76
2012,Vellore,76.4
2012,Villupuram,74.01
2012,Virudhunagar,101.34
2013,Ariyalur,84.34
2013,Chennai,54.15
2013,Coimbatore,62.79
2013,Cuddalore,66.83
2013,Dharmapuri,71.09
2013,Dindigul,91.09
2013,Erode,91.56
2013,Kancheepuram,52.86
2013,Kanyakumari,41.36
2013,Karur,116.14
2013,Krishnagiri,69.55
2013,Madurai,97.12
2013,Nagapattinam,66.18
2013,Namakkal,95.25
2013,Perambular,91.41
2013,Pudukkottai,100.2
2013,Ramananthapuram,114.13
2013,Salem,78.07
2013,Sivagangai,101.23
2013,Thanjavur,85.68
2013,The Nilgiris,39.58
2013,Theni,65.27
2013,Thirunelveli,77.6
2013,Thiruvallur,51.68
2013,Thiruvarur,72.67
2013,Thoothukudi,118.55
2013,Tiruchirappalli,102.11
2013,Tiruppur,103.11
2013,Tiruvannamalai,58.61
2013,Vellore,61.66
2013,Villupuram,68.04
2013,Virudhunagar,102.93
2014,Ariyalur,95.91
2014,Chennai,83.06
2014,Coimbatore,63.25
2014,Cuddalore,84.89
2014,Dharmapuri,81.92
2014,Dindigul,93.12
2014,Erode,92.48
2014,Kancheepuram,79.48
2014,Kanyakumari,53.96
2014,Karur,116.44
2014,Krishnagiri,79.78
2014,Madurai,102.28
2014,Nagapattinam,79.4
2014,Namakkal,98.18
2014,Perambular,101.3
2014,Pudukkottai,105.07
2014,Ramananthapuram,119.74
2014,Salem,86.42
2014,Sivagangai,106.85
2014,Thanjavur,95.34
2014,The Nilgiris,43.86
2014,Theni,73.29
2014,Thirunelveli,88.31
2014,Thiruvallur,77.02
2014,Thiruvarur,85.56
2014,Thoothukudi,120.86
2014,Tiruchirappalli,106.79
2014,Tiruppur,101.55
2014,Tiruvannamalai,78.55
2014,Vellore,78.48
2014,Villupuram,86.05
2014,Virudhunagar,111.02
2015,Ariyalur,61.98
2015,Chennai,70.02
2015,Coimbatore,45.36
2015,Cuddalore,56.57
2015,Dharmapuri,55.72
2015,Dindigul,58.85
2015,Erode,69.91
2015,Kancheepuram,63.6
2015,Kanyakumari,32.49
2015,Karur,78.62
2015,Krishnagiri,62.35
2015,Madurai,60.27
2015,Nagapattinam,50.34
2015,Namakkal,67.02
2015,Perambular,63.22
2015,Pudukkottai,63.94
2015,Ramananthapuram,80.91
2015,Salem,58.68
2015,Sivagangai,60.98
2015,Thanjavur,58.8
2015,The Nilgiris,28.7
2015,Theni,39.49
2015,Thirunelveli,59.75
2015,Thiruvallur,66.84
2015,Thiruvarur,51.96
2015,Thoothukudi,96.69
2015,Tiruchirappalli,68.07
2015,Tiruppur,77.45
2015,Tiruvannamalai,56.3
2015,Vellore,63.75
2015,Villupuram,58.99
2015,Virudhunagar,69.4
