year,dist_name,nitrogen_kharif_consumption_tons,nitrogen_rabi_consumption_tons,phosphate_kharif_consumption_tons,phosphate_rabi_consumption_tons,potash_kharif_consumption_tons,potash_rabi_consumption_tons,total_kharif_consumption_tons,total_rabi_consumption_tons
1994,Pudukkottai,3866.0,9813.0,2225.0,2434.0,2818.0,3010.0,8909.0,15257.0
1994,Ramananthapuram,1095.0,6017.0,841.0,1254.0,654.0,888.0,2590.0,8159.0
1994,Salem,11204.0,15578.0,5792.0,5019.0,9573.0,9275.0,26569.0,29872.0
1994,Sivagangai,1800.0,4130.0,784.0,1286.0,1750.0,1279.0,4334.0,6695.0
1994,Thanjavur,16008.0,21900.0,9449.0,4404.0,9390.0,7051.0,34847.0,33355.0
1994,The Nilgiris,1762.0,3207.0,689.0,597.0,2197.0,1070.0,4648.0,4874.0
1994,Thirunelveli,7269.0,11303.0,3536.0,3401.0,4252.0,5528.0,15057.0,20232.0
1994,Thoothukudi,2134.0,3814.0,1387.0,1507.0,1770.0,1343.0,5291.0,6664.0
1994,Tiruchirappalli,16300.0,22387.0,7979.0,5346.0,12659.0,11304.0,36938.0,39037.0
1994,Tiruvannamalai,5194.0,17391.0,3166.0,4822.0,3491.0,4341.0,11851.0,26554.0
1994,Vellore,10536.0,16172.0,4307.0,5698.0,5956.0,6847.0,20799.0,28717.0
1994,Villupuram,11052.0,15441.0,4536.0,5026.0,6741.0,6218.0,22329.0,26685.0
1994,Virudhunagar,2982.0,4977.0,1662.0,1420.0,1811.0,2030.0,6455.0,8427.0
1995,Coimbatore,12015.0,10637.0,4101.0,3720.0,9574.0,7806.0,25690.0,22163.0
1995,Cuddalore,10625.0,13386.0,3705.0,4717.0,4504.0,5085.0,18834.0,23188.0
1995,Dharmapuri,5438.0,6073.0,2482.0,2509.0,3540.0,2586.0,11460.0,11168.0
1995,Dindigul,4634.0,5591.0,2144.0,1745.0,2066.0,3188.0,8844.0,10524.0
1995,Erode,12160.0,14208.0,4250.0,4092.0,5352.0,5154.0,21762.0,23454.0
1995,Kancheepuram,13870.0,30843.0,4955.0,7674.0,5476.0,6662.0,24301.0,45179.0
1995,Kanyakumari,3385.0,3083.0,1591.0,1475.0,1999.0,2060.0,6975.0,6618.0
1995,Madurai,14455.0,14794.0,5008.0,4491.0,13048.0,12554.0,32511.0,31839.0
1995,Nagapattinam,12800.0,20383.0,6446.0,5828.0,5931.0,4483.0,25177.0,30694.0
1995,Pudukkottai,3615.0,6444.0,1430.0,1699.0,2179.0,2523.0,7224.0,10666.0
1995,Ramananthapuram,1147.0,4244.0,980.0,1062.0,598.0,1477.0,2725.0,6783.0
1995,Salem,9897.0,13638.0,3718.0,4137.0,6101.0,6553.0,19716.0,24328.0
1995,Sivagangai,2259.0,2617.0,664.0,530.0,314.0,458.0,3237.0,3605.0
1995,Thanjavur,13633.0,22544.0,5834.0,5297.0,4645.0,5995.0,24112.0,33836.0
1995,The Nilgiris,3112.0,1989.0,854.0,890.0,647.0,1860.0,4613.0,4739.0
1995,Thirunelveli,7948.0,12328.0,2817.0,2735.0,3823.0,4450.0,14588.0,19513.0
1995,Thoothukudi,2980.0,2885.0,1187.0,887.0,1246.0,1023.0,5413.0,4795.0
1995,Tiruchirappalli,15858.0,20716.0,5203.0,5422.0,8793.0,11818.0,29854.0,37956.0
1995,Tiruvannamalai,7283.0,9807.0,3119.0,3622.0,2429.0,3838.0,12831.0,17267.0
1995,Vellore,9687.0,15994.0,3482.0,4713.0,4091.0,5511.0,17260.0,26218.0
1995,Villupuram,9994.0,12870.0,3662.0,4792.0,5513.0,5979.0,19169.0,23641.0
1995,Virudhunagar,2619.0,3445.0,1305.0,667.0,1600.0,1243.0,5524.0,5355.0
1996,Coimbatore,11783.0,14381.0,2792.0,3984.0,8279.0,5926.0,22854.0,24291.0
1996,Cuddalore,11123.0,15423.0,5420.0,4747.0,5267.0,4518.0,21810.0,24688.0
1996,Dharmapuri,4356.0,9381.0,1750.0,3978.0,2493.0,3135.0,8599.0,16494.0
1996,Dindigul,4344.0,8126.0,1926.0,2923.0,1433.0,2889.0,7703.0,13938.0
1996,Erode,11510.0,22227.0,2595.0,5519.0,4728.0,4828.0,18833.0,32574.0
1996,Kancheepuram,11901.0,23821.0,3803.0,8887.0,2353.0,7158.0,18057.0,39866.0
1996,Kanyakumari,2776.0,3094.0,1067.0,1370.0,1775.0,1892.0,5618.0,6356.0
1996,Karur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1996,Madurai,12311.0,20672.0,3873.0,5747.0,6134.0,8435.0,22318.0,34854.0
1996,Nagapattinam,13245.0,16208.0,2716.0,4154.0,2343.0,3544.0,18304.0,23906.0
1996,Perambular,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1996,Pudukkottai,8415.0,8074.0,2546.0,2310.0,5933.0,2283.0,16894.0,12667.0
1996,Ramananthapuram,14793.0,4918.0,540.0,1197.0,1158.0,610.0,16491.0,6725.0
1996,Salem,7828.0,19422.0,3206.0,6379.0,5136.0,6125.0,16170.0,31926.0
