year,dist_name,rice_area_1000_ha,rice_production_1000_tons,rice_yield_kg_per_ha
1998,Thiruvallur,120.13,471.02,3921.0
1998,Thiruvarur,159.65,477.07,2988.0
1998,Thoothukudi,21.72,96.92,4462.0
1998,Tiruchirappalli,74.09,316.52,4272.0
1998,Tiruvannamalai,146.25,484.4,3312.0
1998,Vellore,77.13,295.87,3836.0
1998,Villupuram,174.83,639.74,3659.0
1998,Virudhunagar,37.07,155.04,4182.0
1999,Chennai,0.0,0.0,0.0
1999,Coimbatore,17.88,69.35,3879.0
1999,Cuddalore,113.84,439.85,3864.0
1999,Dharmapuri,54.88,200.57,3655.0
1999,Dindigul,28.34,136.86,4829.0
1999,Erode,60.33,278.08,4609.0
1999,Kancheepuram,144.9,482.6,3331.0
1999,Kanyakumari,31.48,149.48,4748.0
1999,Karur,19.48,66.07,3392.0
1999,Madurai,82.33,365.05,4434.0
1999,Nagapattinam,163.62,547.52,3346.0
1999,Namakkal,22.73,109.37,4812.0
1999,Perambular,52.45,181.34,3457.0
1999,Pudukkottai,99.11,355.51,3587.0
1999,Ramananthapuram,129.88,85.2,656.0
1999,Salem,47.05,199.43,4239.0
1999,Sivagangai,88.08,168.86,1917.0
1999,Thanjavur,188.91,654.2,3463.0
1999,The Nilgiris,1.95,7.98,4092.0
1999,Theni,18.48,73.09,3955.0
1999,Thirunelveli,86.32,390.67,4526.0
1999,Thiruvallur,110.97,433.65,3908.0
1999,Thiruvarur,163.6,490.8,3000.0
1999,Thoothukudi,17.6,79.06,4492.0
1999,Tiruchirappalli,80.91,354.67,4384.0
1999,Tiruvannamalai,97.39,303.01,3111.0
1999,Vellore,49.87,217.18,4355.0
1999,Villupuram,158.64,561.58,3540.0
1999,Virudhunagar,32.56,131.07,4025.0
2000,Chennai,0.0,0.0,0.0
2000,Coimbatore,14.11,50.03,3546.0
2000,Cuddalore,114.32,419.74,3672.0
2000,Dharmapuri,55.91,190.83,3413.0
2000,Dindigul,22.94,107.76,4697.0
2000,Erode,58.02,260.66,4493.0
2000,Kancheepuram,132.86,435.5,3278.0
2000,Kanyakumari,28.59,135.0,4722.0
2000,Karur,17.95,81.11,4519.0
2000,Madurai,76.91,325.0,4226.0
2000,Nagapattinam,167.32,547.63,3273.0
2000,Namakkal,21.46,93.6,4362.0
2000,Perambular,54.61,174.82,3201.0
2000,Pudukkottai,94.79,323.09,3408.0
2000,Ramananthapuram,124.28,237.08,1908.0
2000,Salem,45.96,201.22,4378.0
2000,Sivagangai,83.95,218.28,2600.0
2000,Thanjavur,191.8,719.0,3749.0
2000,The Nilgiris,2.03,8.35,4113.0
2000,Theni,18.21,80.82,4438.0
2000,Thirunelveli,76.29,338.96,4443.0
2000,Thiruvallur,93.06,329.3,3539.0
2000,Thiruvarur,174.26,661.46,3796.0
2000,Thoothukudi,15.62,67.97,4351.0
2000,Tiruchirappalli,81.18,316.77,3902.0
2000,Tiruvannamalai,81.75,247.22,3024.0
2000,Vellore,52.33,211.44,4041.0
2000,Villupuram,153.51,510.62,3326.0
2000,Virudhunagar,26.01,73.06,2809.0
2001,Chennai,0.0,0.0,0.0
2001,Coimbatore,10.55,37.2,3526.0
2001,Cuddalore,108.38,402.81,3717.0
2001,Dharmapuri,54.33,189.51,3488.0
2001,Dindigul,16.11,76.33,4738.0
2001,Erode,50.47,233.91,4635.0
2001,Kancheepuram,135.16,478.94,3544.0
2001,Kanyakumari,28.23,121.39,4300.0
2001,Karur,15.54,56.12,3611.0
2001,Madurai,68.13,271.59,3986.0
2001,Nagapattinam,168.27,427.5,2541.0
2001,Namakkal,21.36,97.61,4570.0
2001,Perambular,48.73,118.71,2436.0
2001,Pudukkottai,83.5,220.6,2642.0
2001,Ramananthapuram,124.52,169.9,1364.0
2001,Salem,46.23,204.3,4419.0
2001,Sivagangai,77.25,159.61,2066.0
2001,Thanjavur,192.16,561.65,2923.0
2001,The Nilgiris,2.15,8.44,3926.0
2001,Theni,17.42,77.88,4471.0
2001,Thirunelveli,71.98,290.13,4031.0
2001,Thiruvallur,94.42,321.61,3406.0
2001,Thiruvarur,174.72,460.11,2633.0
2001,Thoothukudi,10.2,42.78,4194.0
2001,Tiruchirappalli,72.32,296.51,4100.0
2001,Tiruvannamalai,122.69,370.96,3024.0
2001,Vellore,60.11,234.13,3895.0
2001,Villupuram,155.56,561.13,3607.0
