year,dist_name,minimum_temperature
2011,Chennai,24.22
2011,Coimbatore,20.65
2011,Cuddalore,24.25
2011,Dharmapuri,21.33
2011,Dindigul,21.57
2011,Erode,21.2
2011,Kancheepuram,23.91
2011,Kanyakumari,23.09
2011,Karur,24.23
2011,Krishnagiri,20.1
2011,Madurai,24.08
2011,Nagapattinam,24.57
2011,Namakkal,22.73
2011,Perambular,24.32
2011,Pudukkottai,24.76
2011,Ramananthapuram,25.77
2011,Salem,21.95
2011,Sivagangai,25.04
2011,Thanjavur,24.48
2011,The Nilgiris,14.5
2011,Theni,21.29
2011,Thirunelveli,24.32
2011,Thiruvallur,23.67
2011,Thiruvarur,24.6
2011,Thoothukudi,25.57
2011,Tiruchirappalli,23.9
2011,Tiruppur,22.34
2011,Tiruvannamalai,23.04
2011,Vellore,22.14
2011,Villupuram,23.72
2011,Virudhunagar,25.1
2012,Ariyalur,24.66
2012,Chennai,24.34
2012,Coimbatore,21.07
2012,Cuddalore,24.43
2012,Dharmapuri,21.82
2012,Dindigul,21.96
2012,Erode,21.71
2012,Kancheepuram,24.1
2012,Kanyakumari,23.29
2012,Karur,24.61
2012,Krishnagiri,20.65
2012,Madurai,24.4
2012,Nagapattinam,24.67
2012,Namakkal,23.13
2012,Perambular,24.57
2012,Pudukkottai,24.96
2012,Ramananthapuram,25.95
2012,Salem,22.38
2012,Sivagangai,25.25
2012,Thanjavur,24.64
2012,The Nilgiris,14.96
2012,Theni,21.66
2012,Thirunelveli,24.58
2012,Thiruvallur,23.87
2012,Thiruvarur,24.72
2012,Thoothukudi,25.81
2012,Tiruchirappalli,24.19
2012,Tiruppur,22.8
2012,Tiruvannamalai,23.38
2012,Vellore,22.54
2012,Villupuram,23.99
2012,Virudhunagar,25.4
2013,Ariyalur,24.76
2013,Chennai,24.16
2013,Coimbatore,21.03
2013,Cuddalore,24.46
2013,Dharmapuri,21.8
2013,Dindigul,21.97
2013,Erode,21.75
2013,Kancheepuram,23.96
2013,Kanyakumari,23.19
2013,Karur,24.7
2013,Krishnagiri,20.58
2013,Madurai,24.41
2013,Nagapattinam,24.74
2013,Namakkal,23.24
2013,Perambular,24.68
2013,Pudukkottai,25.13
2013,Ramananthapuram,26.07
2013,Salem,22.43
2013,Sivagangai,25.41
2013,Thanjavur,24.77
2013,The Nilgiris,14.9
2013,Theni,21.57
2013,Thirunelveli,24.48
2013,Thiruvallur,23.69
2013,Thiruvarur,24.82
2013,Thoothukudi,25.78
2013,Tiruchirappalli,24.33
2013,Tiruppur,22.8
2013,Tiruvannamalai,23.27
2013,Vellore,22.38
2013,Villupuram,23.95
2013,Virudhunagar,25.37
2014,Ariyalur,24.86
2014,Chennai,24.6
2014,Coimbatore,21.29
2014,Cuddalore,24.67
2014,Dharmapuri,22.08
2014,Dindigul,22.09
2014,Erode,21.93
2014,Kancheepuram,24.38
2014,Kanyakumari,23.37
2014,Karur,24.78
2014,Krishnagiri,20.92
2014,Madurai,24.5
2014,Nagapattinam,24.85
2014,Namakkal,23.34
2014,Perambular,24.79
2014,Pudukkottai,25.11
2014,Ramananthapuram,26.04
2014,Salem,22.62
2014,Sivagangai,25.36
2014,Thanjavur,24.82
2014,The Nilgiris,15.2
2014,Theni,21.78
2014,Thirunelveli,24.65
2014,Thiruvallur,24.14
2014,Thiruvarur,24.89
2014,Thoothukudi,25.87
2014,Tiruchirappalli,24.38
2014,Tiruppur,22.98
2014,Tiruvannamalai,23.66
2014,Vellore,22.81
2014,Villupuram,24.25
2014,Virudhunagar,25.48
2015,Ariyalur,24.92
2015,Chennai,24.67
2015,Coimbatore,21.32
2015,Cuddalore,24.72
2015,Dharmapuri,22.05
2015,Dindigul,22.09
2015,Erode,21.93
2015,Kancheepuram,24.43
2015,Kanyakumari,23.43
2015,Karur,24.79
2015,Krishnagiri,20.88
2015,Madurai,24.52
2015,Nagapattinam,24.93
2015,Namakkal,23.35
2015,Perambular,24.83
2015,Pudukkottai,25.17
2015,Ramananthapuram,26.1
2015,Salem,22.61
2015,Sivagangai,25.42
2015,Thanjavur,24.88
2015,The Nilgiris,15.27
2015,Theni,21.78
2015,Thirunelveli,24.69
2015,Thiruvallur,24.19
2015,Thiruvarur,24.97
2015,Thoothukudi,25.92
2015,Tiruchirappalli,24.42
2015,Tiruppur,22.98
2015,Tiruvannamalai,23.64
2015,Vellore,22.77
2015,Villupuram,24.26
2015,Virudhunagar,25.51
